Knowledge of common programming languages;Programming Fundamentals
;Data Structures and Algorithms
;Object Oriented Programming
;Advanced Prgramming Techniques
;Real-time Programming
;Network Programming
;Game Programming
;Advanced Game Programming
;Web Programming
;Graphic User Interface Programming
;Advanced Graphic User Interface Programming
Knowledge of web development software;Web Design
;Web Programming
;Web Technologies and Services
Knowledge of HTML and CSS;Web Design
Experience using web authoring software and programs like Adobe Illustrator and Adobe Flash;
Good communication skills;Communication Skills
Organizational skills;
